[15/3/2025 00:32:08] Error al seleccionar una persona. - Excepción: ArgumentException, Mensaje: Cannot bind to the property or column Apellido on the DataSource. (Parameter 'dataMember')
[15/3/2025 00:41:23] Error al seleccionar una persona. - Excepción: ArgumentException, Mensaje: Cannot bind to the property or column Apellido on the DataSource. (Parameter 'dataMember')
[15/3/2025 00:43:21] Error al seleccionar una persona. - Excepción: ArgumentException, Mensaje: Cannot bind to the property or column Apellido on the DataSource. (Parameter 'dataMember')
[15/3/2025 00:44:17] Error al seleccionar una persona. - Excepción: ArgumentException, Mensaje: Cannot bind to the property or column Apellido on the DataSource. (Parameter 'dataMember')
[16/3/2025 02:11:32] Error desconocido al leer Persona.xml - Excepción: InvalidOperationException, Mensaje: There was an error generating the XML document.
[16/3/2025 02:15:26] Error desconocido al leer Persona.xml - Excepción: InvalidOperationException, Mensaje: There was an error generating the XML document.
[16/3/2025 02:19:14] Error desconocido al leer Persona.xml - Excepción: InvalidOperationException, Mensaje: There was an error generating the XML document.
[16/3/2025 22:06:01] Excepción no controlada - Excepción: ArgumentException, Mensaje: Cannot bind to the property or column Text on the DataSource. (Parameter 'dataMember')
[18/3/2025 18:52:18] Excepción no controlada - Excepción: ArgumentException, Mensaje: No se puede enlazar la propiedad o la columna Precio en DataSource. (Parameter 'dataMember')
[18/3/2025 18:54:50] Excepción no controlada - Excepción: ArgumentException, Mensaje: No se puede enlazar la propiedad o la columna Precio en DataSource. (Parameter 'dataMember')
[18/3/2025 19:38:59] Error al cargar datos. - Excepción: InvalidCastException, Mensaje: Unable to cast object of type '<>f__AnonymousType0`6[System.Int32,System.String,System.String,System.String,System.Int32,System.Decimal]' to type 'Integrador.Entities.Auto'.
[18/3/2025 19:39:05] Excepción no controlada - Excepción: ArgumentException, Mensaje: No se puede enlazar la propiedad o la columna Precio en DataSource. (Parameter 'dataMember')
